Power Usage (kW),Pr Percent,Fuel Usage (Litres),Energy (kWh),Eff (kWh/Litre),Eff (litre/kWh)
69,0.575,0.059055556,0.191666667,3.25,0.308115942
70,0.583333333,0.059814815,0.194444444,3.25,0.307619048
71,0.591666667,0.060574074,0.197222222,3.26,0.30713615
72,0.6,0.061333333,0.2,3.26,0.306666667
73,0.608333333,0.062092593,0.202777778,3.27,0.306210046
74,0.616666667,0.062851852,0.205555556,3.27,0.305765766
75,0.625,0.063611111,0.208333333,3.28,0.305333333
76,0.633333333,0.06437037,0.211111111,3.28,0.304912281
77,0.641666667,0.06512963,0.213888889,3.28,0.304502165
78,0.65,0.065888889,0.216666667,3.29,0.304102564
79,0.658333333,0.066648148,0.219444444,3.29,0.30371308
80,0.666666667,0.067407407,0.222222222,3.3,0.303333333
81,0.675,0.068166667,0.225,3.3,0.302962963
82,0.683333333,0.068925926,0.227777778,3.3,0.302601626
83,0.691666667,0.069685185,0.230555556,3.31,0.302248996
84,0.7,0.070444444,0.233333333,3.31,0.301904762
85,0.708333333,0.071203704,0.236111111,3.32,0.301568627
86,0.716666667,0.071962963,0.238888889,3.32,0.30124031
87,0.725,0.072722222,0.241666667,3.32,0.30091954
88,0.733333333,0.073481481,0.244444444,3.33,0.300606061
89,0.741666667,0.074240741,0.247222222,3.33,0.300299625
90,0.75,0.075,0.25,3.33,0.3
91,0.758333333,0.075833333,0.252777778,3.33,0.3
92,0.766666667,0.076666667,0.255555556,3.33,0.3
93,0.775,0.0775,0.258333333,3.33,0.3
94,0.783333333,0.078333333,0.261111111,3.33,0.3
95,0.791666667,0.079166667,0.263888889,3.33,0.3
96,0.8,0.08,0.266666667,3.33,0.3
97,0.808333333,0.080833333,0.269444444,3.33,0.3
98,0.816666667,0.081666667,0.272222222,3.33,0.3
99,0.825,0.0825,0.275,3.33,0.3
100,0.833333333,0.083333333,0.277777778,3.33,0.3
101,0.841666667,0.084166667,0.280555556,3.33,0.3
102,0.85,0.085,0.283333333,3.33,0.3
103,0.858333333,0.085833333,0.286111111,3.33,0.3
104,0.866666667,0.086666667,0.288888889,3.33,0.3
105,0.875,0.0875,0.291666667,3.33,0.3
106,0.883333333,0.088333333,0.294444444,3.33,0.3
107,0.891666667,0.089166667,0.297222222,3.33,0.3
108,0.9,0.09,0.3,3.33,0.3
109,0.908333333,0.090833333,0.302777778,3.33,0.3
110,0.916666667,0.091666667,0.305555556,3.33,0.3
111,0.925,0.0925,0.308333333,3.33,0.3
112,0.933333333,0.093333333,0.311111111,3.33,0.3
113,0.941666667,0.094166667,0.313888889,3.33,0.3
114,0.95,0.095,0.316666667,3.33,0.3
115,0.958333333,0.095833333,0.319444444,3.33,0.3
116,0.966666667,0.096666667,0.322222222,3.33,0.3
117,0.975,0.0975,0.325,3.33,0.3
118,0.983333333,0.098333333,0.327777778,3.33,0.3
119,0.991666667,0.099166667,0.330555556,3.33,0.3
120,1,0.1,0.333333333,3.33,0.3
120,1,0.1,0.333333333,3.33,0.3
120,1,0.1,0.333333333,3.33,0.3
120,1,0.1,0.333333333,3.33,0.3
120,1,0.1,0.333333333,3.33,0.3
120,1,0.1,0.333333333,3.33,0.3
120,1,0.1,0.333333333,3.33,0.3
120,1,0.1,0.333333333,3.33,0.3
120,1,0.1,0.333333333,3.33,0.3
120,1,0.1,0.333333333,3.33,0.3
120,1,0.1,0.333333333,3.33,0.3
120,1,0.1,0.333333333,3.33,0.3
120,1,0.1,0.333333333,3.33,0.3
120,1,0.1,0.333333333,3.33,0.3
120,1,0.1,0.333333333,3.33,0.3
120,1,0.1,0.333333333,3.33,0.3
120,1,0.1,0.333333333,3.33,0.3
120,1,0.1,0.333333333,3.33,0.3
120,1,0.1,0.333333333,3.33,0.3
120,1,0.1,0.333333333,3.33,0.3
120,1,0.1,0.333333333,3.33,0.3
120,1,0.1,0.333333333,3.33,0.3
120,1,0.1,0.333333333,3.33,0.3
120,1,0.1,0.333333333,3.33,0.3
